,Title,Intervention Area
963,preventin disruption deterrence online child sexual exploitation abuse,Child Protection
964,prevent child sexual abuse systematic review intervention efficacy develop,Child Protection
965,prevent child sexual abuse systematic review intervention efficacy develop,Child Protection
966,primary education stipends mother prefer payment cash,Digital Finance
967,primary education stipends mother prefer payment cash,Policy & Regulation or Digital Services
968,primary education stipends mother prefer payment cash,Digital Inclusion
969,privacy perception locationbased service mobile device university coast,Data Privacy
970,privatesector investment opportunity primary healthcare implementation roadmap,Data Systems & Development
971,promote african multinationals inclusive postpandemic future,Digital Inclusion
972,promote literacy skill student improved school curriculum,Digital Literacy
973,promote literacy skill student improved school curriculum,Child Protection
974,protect agricultural worker remote covid awareness campaign,Digital Information Services
975,reference service namibian study,Digital Information Services
976,reference service namibian study,Upskilling/ Capacity Building
977,free internet connectivity improve financial economic outcome,Data Systems & Development
978,free internet connectivity improve financial economic outcome,Data Systems & Development
979,free internet connectivity improve financial economic outcome,Digital Inclusion
980,free internet connectivity improve financial economic outcome,Digital Inclusion
981,public financial management digitalization payment,Digital Finance
982,public financial management digitalization payment,Digital Inclusion
983,public inclusion micro small enterprise,Digital Inclusion
984,push level investigate creation,Digital Finance
985,quantum technology transformation social impact crosssector disruption,Cybersecurity
986,rapid account open pandemic,Digital Finance
987,realize potential digitization improve agrifood system propose international council food agriculture,Policy & Regulation or Digital Services
988,reassess expectation blockchain,Data Systems & Development
989,reassess expectation blockchain,Data Systems & Development
990,rebuild yanacona city role technology placemaking practice displace indigenous bogota,Digital Inclusion
991,recommendation leverage ecommerce covid crisis english,Digital Finance
992,recommendation leverage ecommerce covid crisis english,Digital Finance
993,reduce job search cost smsbased message app rural,Digital Literacy
994,reduce job search cost smsbased message app rural,Digital Literacy
995,reduce job search cost smsbased message app rural,Digital Inclusion
996,reduce job search cost smsbased message app rural,Digital Inclusion
997,relationship teacher educator attitude computer level ict integration instruction primary teacher training college,Digital Literacy
998,relationship teacher educator attitude computer level ict integration instruction primary teacher training college,Upskilling/ Capacity Building
999,resilient industry competitiveness face disaster english,Digital Information Services
1000,resilient industry competitiveness face disaster english,Digital Information Services
1001,resilient industry competitiveness face disaster english,Digital Information Services
1002,risk share transaction cost replication study evidence kenya mobile money revolution,Digital Finance
1003,role perceive risk adopt mobile government mgovernment service,Digital Finance
1004,save multiple financial evidence lockbox mobile money,Digital Finance
1005,scale learn,Digital Literacy
1006,scale learn,Upskilling/ Capacity Building
1007,selfhelp member bank agent deepen financial inclusion english,Digital Finance
1008,selfhelp member bank agent deepen financial inclusion english,Digital Finance
1009,selfhelp member bank agent deepen financial inclusion english,Digital Inclusion
1010,selfhelp member bank agent deepen financial inclusion english,Digital Inclusion
1011,gender agenda communication policy proposal global alliance medium gender,Digital Literacy
1012,gender agenda communication policy proposal global alliance medium gender,Digital Inclusion
1013,sexual exploitation abuse child online phillipines review online news article,Child Protection
1014,sexual exploitation abuse child online phillipines review online news article,Child Protection
1015,shape citizen freedom social medium interaction role city policy expert policymaking,Policy & Regulation or Digital Services
1016,shortterm impact improve access mobile saving business train experimental evidence,Digital Finance
1017,shortterm impact improve access mobile saving business train experimental evidence,Digital Finance
1018,shortterm impact improve access mobile saving business train experimental evidence,Digital Inclusion
1019,shortterm impact improve access mobile saving business train experimental evidence,Digital Inclusion
1020,simplify tax file small business,E-government
1021,site exception gender violence activism nirbhayas zone anomie,Digital Infrastructure Development
1022,site exception gender violence activism nirbhayas zone anomie,Digital Inclusion
1023,sms behaviour change communication evoucher intervention increase uptake cervical cancer screen kilimanjaro arusha region randomise doubleblind control trial effectiveness,Digital Information Services
1024,sm text message reminder improve infant vaccination coverage pilot randomize control trial,Data Systems & Development
1025,social behavior change communication intervention deliver facetoface mobile phone strengthen vaccination uptake improve child health rural randomize pilot study,Digital Information Services
1026,social isolation disrupt privacy impact covid adolescent girl humanitarian,Child Protection
1027,social isolation disrupt privacy impact covid adolescent girl humanitarian,Child Protection
1028,social isolation disrupt privacy impact covid adolescent girl humanitarian,Digital Inclusion
1029,social isolation disrupt privacy impact covid adolescent girl humanitarian,Digital Inclusion
1030,social medium journalism scene reform,Policy & Regulation or Digital Services
1031,social medium intervention precision public health promise risk,Digital Information Services
1032,sociocultural contextual factor contribute uptake mobile health intervention enhance maternal health care rural,Digital Information Services
1033,sociocultural contextual factor contribute uptake mobile health intervention enhance maternal health care rural,Digital Information Services
1034,sociocultural contextual factor contribute uptake mobile health intervention enhance maternal health care rural,Digital Inclusion
1035,sociocultural contextual factor contribute uptake mobile health intervention enhance maternal health care rural,Digital Inclusion
1036,africa economy diagnostic,E-government
1037,africas quest smart city privacy concern natives town africa,Data Privacy
1038,africas quest smart city privacy concern natives town africa,Data Systems & Development
1039,spatialdata justice mapping digitise stroll moral police,Policy & Regulation or Digital Services
1040,spatialdata justice mapping digitise stroll moral police,Policy & Regulation or Digital Services
1041,spatialdata justice mapping digitise stroll moral police,Data Systems & Development
1042,spatialdata justice mapping digitise stroll moral police,Data Systems & Development
1043,spring summative programme performance evaluation,Digital Finance
1044,spring summative programme performance evaluation,Digital Finance
1045,spring summative programme performance evaluation,Digital Finance
1046,spring summative programme performance evaluation,Digital Finance
1047,spring summative programme performance evaluation,Digital Inclusion
1048,spring summative programme performance evaluation,Digital Inclusion
1049,spring summative programme performance evaluation,Digital Inclusion
1050,spring summative programme performance evaluation,Digital Inclusion
1051,stakeholder involvement union centre,E-government
1052,stakeholder involvement union centre,Digital Information Services
1053,stakeholder involvement union centre,Policy & Regulation or Digital Services
1054,financial inclusion woman english,Digital Inclusion
1055,financial inclusion woman english,Digital Inclusion
1056,policy consumer protection financial service,Policy & Regulation or Digital Services
1057,policy consumer protection financial service,Digital Finance
1058,stem learning loss pandemic rapid randomize trial low tech intervention,Digital Inclusion
1059,strategic synthesis program literature,Digital Finance
1060,strategic synthesis program literature,Digital Information Services
1061,strategic synthesis program literature,Digital Information Services
1062,strategic synthesis program literature,Digital Information Services
1063,strategic synthesis program literature,Digital Finance
1064,strategic synthesis program literature,Digital Finance
1065,strategy support inclusive innovation,E-government
1066,strategy support inclusive innovation,Digital Inclusion
1067,strengthen skill pipeline statistical capacity meet demand sustainable implement data fellowship model,Upskilling/ Capacity Building
1068,study micro small medium enterprise participation economy asean literature review,Digital Finance
1069,study transport logistics valueadded manufacturing service,Digital Infrastructure Development
1070,support innovation technology accountability initiative lesson voice count,E-government
1071,support woman coronavirus covid emergency response economic recovery,Digital Finance
1072,sustainability fintech financial inclusion,Digital Finance
1073,sustainability fintech financial inclusion,Digital Inclusion
1074,systematic evaluation platform decent standard framework application global,Data Systems & Development
1075,tackle cybercrime unleash develop potential,Cybersecurity
1076,tackle poverty hunger innovation,Digital Infrastructure Development
1077,tackle poverty hunger innovation,Digital Inclusion
1078,management lesson innovative management system small business,Data Systems & Development
1079,tame beast harnessing blockchains develop government,Policy & Regulation or Digital Services
1080,tame beast harnessing blockchains develop government,Digital Inclusion
1081,tame strange beast service future paygo,Digital Finance
1082,aid machine learn mobile phone data,Digital Finance
1083,taxmotivated transfer mispricing africa direct evidence transaction data,E-government
1084,teacher attitude integrate ict classroom instruction teach learn biology secondary school southern region,Digital Literacy
1085,teacher attitude integrate ict classroom instruction teach learn biology secondary school southern region,Upskilling/ Capacity Building
1086,teach conception technology teach resource physical education public school minas gerais,Digital Inclusion
1087,technical enhance supervision phase landscape analysis finding,Data Systems & Development
1088,test validity feasibility mobile phonebased method ass strength implementation family planning program,Data Systems & Development
1089,test innovative extension technology incentive improve padee aspire,Digital Information Services
1090,test innovative extension technology incentive improve padee aspire,Digital Inclusion
1091,test validity feasibility mobile phonebased method ass strength implementation family planning program,Digital Information Services
1092,test water payment water sanitation,Digital Finance
1093,formation interstate crossborder scientificeducational innovative space european union member economy,Digital Infrastructure Development
1094,impact belt road initiative investment connectivity communication technology achieve sdgs,Digital Infrastructure Development
1095,classify online risk child,Child Protection
1096,affordability,Digital Inclusion
1097,contribution icts sustainable urbanization health urban,Data Systems & Development
1098,cyber frontier pitfall global,Cybersecurity
1099,data delusion,Data Privacy
1100,data delusion,Policy & Regulation or Digital Services
1101,infrastructure blockchain technology,Digital Infrastructure Development
1102,mobile money politics financial inclusion,Digital Finance
1103,mobile money politics financial inclusion,Digital Infrastructure Development
1104,mobile money politics financial inclusion,Digital Inclusion
1105,carceral medium infrastructure culture surveillance postarab spring,Digital Infrastructure Development
1106,carceral medium infrastructure culture surveillance postarab spring,Policy & Regulation or Digital Services
1107,carceral medium infrastructure culture surveillance postarab spring,Data Privacy
1108,divide nonuse ict rural urban student,Digital Inclusion
1109,economy southeast asia strengthen foundation future growth,Digital Infrastructure Development
1110,economy southeast asia strengthen foundation future growth,Digital Finance
1111,payment,Digital Finance
1112,digitalisation african agriculture,Data Systems & Development
1113,covid education africa implication technology,E-government
1114,medium young mind pandemic study,Digital Information Services
1115,librarian skill technology acceptance academic library,Upskilling/ Capacity Building
1116,future mobile financial inclusion technological innovation emerge,Digital Finance
1117,future mobile financial inclusion technological innovation emerge,Digital Inclusion
1118,future gp payment integrated infrastructure,E-government
1119,future gp payment integrated infrastructure,Digital Finance
1120,future finding commission oxfam empower youth program,Data Systems & Development
1121,future finding commission oxfam empower youth program,Data Systems & Development
1122,future aim resilience paradigm caribbean,Upskilling/ Capacity Building
1123,future aim resilience paradigm caribbean,Upskilling/ Capacity Building
1124,future aim resilience paradigm caribbean,Upskilling/ Capacity Building
1125,gender labor gap economy,Digital Literacy
1126,gender labor gap economy,Digital Literacy
1127,hidden shadow coronavirus education develop,Child Protection
1128,hidden shadow coronavirus education develop,Data Privacy
1129,humanitarian metadata problem harm era,Cybersecurity
1130,impact credit smallscale farmer,Digital Finance
1131,impact credit smallscale farmer,Digital Finance
1132,impact credit smallscale farmer,Digital Inclusion
1133,impact credit smallscale farmer,Digital Inclusion
1134,impact womenspecific credit score model woman access credit republic,Digital Finance
1135,impact womenspecific credit score model woman access credit republic,Digital Finance
1136,impact womenspecific credit score model woman access credit republic,Digital Inclusion
1137,impact womenspecific credit score model woman access credit republic,Digital Inclusion
1138,impact computer assist learning rural taiwanese child evidence randomize experiment,E-government
1139,impact computer assist learning rural taiwanese child evidence randomize experiment,Data Systems & Development
1140,impact internet adolescent learn outcome evidence rural,Digital Inclusion
1141,impact mobile money financial performance smes douala,Digital Finance
1142,impact personalize sms message parent student achievement,Data Systems & Development
1143,impact personalize sms message parent student achievement,Digital Inclusion
1144,impact rapid technological change sustainable,Policy & Regulation or Digital Services
1145,impact reliable electricity maternal newborn healthcare rural,Digital Infrastructure Development
1146,impact belt road initiative investment connectivity communication technology achieve sdgs,Digital Inclusion
1147,impact health intervention curb covid,Digital Information Services
1148,impact interactive smartboards learn achievement senegalese primary school,Digital Inclusion
1149,mediation hope technology affective affordances iraqi refugee household,Digital Information Services
1150,mediation hope technology affective affordances iraqi refugee household,Digital Inclusion
1151,mobile gender gap,Digital Inclusion
1152,moderate role cultural factor adoption mobile banking,Digital Finance
1153,momconnect helpdesk interactive mobile message programme mother africa,Digital Information Services
1154,momconnect helpdesk interactive mobile message programme mother africa,E-government
1155,economy africa opportunity nigerias emerge technology sector,Data Systems & Development
1156,economy africa opportunity nigerias emerge technology sector,Digital Infrastructure Development
1157,economy africa opportunity nigerias emerge technology sector,Digital Infrastructure Development
1158,economy africa opportunity nigerias emerge technology sector,Data Systems & Development
1159,economy africa opportunity nigerias emerge technology sector,Digital Inclusion
1160,economy africa opportunity nigerias emerge technology sector,Digital Inclusion
1161,personal data protection internet user,Data Privacy
1162,personal data protection internet user,Cybersecurity
1163,puzzle financial inclusion closeable gap,Digital Finance
1164,regulation trade key policy international trend english,Policy & Regulation or Digital Services
1165,relative effectiveness teacher learn software evidence field experiment salvador,E-government
1166,role technology english language teaching,Digital Inclusion
1167,role financial service youth education employment,Digital Finance
1168,role financial service youth education employment,Digital Inclusion
1169,trade cybersecurity dilemma impact global cybersecurity governance,Cybersecurity
1170,urban data justice study collection,Data Systems & Development
1171,usaid economic policy option recovery resilience,Policy & Regulation or Digital Services
1172,usaid economic policy option recovery resilience,Digital Infrastructure Development
1173,agent financial service provider,Digital Finance
1174,agent financial service provider,Digital Inclusion
1175,utility regulator role promote cybersecurity resilience risk assessment standard,Cybersecurity
1176,thin business network supplychain friction impact mobile phone network application small business,Digital Information Services
1177,fast furious credit delivery speed repayment rate,Digital Finance
1178,toolkit woman internet access,Digital Inclusion
1179,universal financial inclusion model challenge global lesson,Digital Finance
1180,universal financial inclusion model challenge global lesson,Digital Inclusion
1181,genderinclusive open source,Digital Inclusion
1182,inclusive literacy framework,Digital Literacy
1183,inclusive literacy framework,Digital Literacy
1184,inclusive literacy framework,Digital Literacy
1185,realtime governance feedback improve service voice accountability,E-government
1186,realtime governance feedback improve service voice accountability,Digital Information Services
1187,trade gender linkages gender impact technological upgrading agriculture,Digital Inclusion
1188,trade gender linkages gender impact technological upgrading agriculture,Digital Inclusion
1189,transform landscape learn mstar,Digital Finance
1190,transform landscape learn mstar,Digital Infrastructure Development
1191,transform landscape learn mstar,Digital Inclusion
1192,transition economy technological capability driver productivity,Digital Infrastructure Development
1193,trend online child sexual abuse material,Child Protection
1194,trust mediator mobile money adoption usage financial inclusion,Digital Finance
1195,twoway short message service sms communication increase preexposure prophylaxis continuation adherence pregnant postpartum woman,Data Systems & Development
1196,egovernment assessment english,E-government
1197,understand benefit cost challenge national identification system,E-government
1198,understanding implication online outsource study labour platform,Data Systems & Development
1199,understanding implication online outsource study labour platform,Policy & Regulation or Digital Services
1200,understand woman mobile phone rural affordancebased,Digital Infrastructure Development
1201,understand woman mobile phone rural affordancebased,Digital Infrastructure Development
1202,understand woman mobile phone rural affordancebased,Digital Infrastructure Development
1203,understand woman mobile phone rural affordancebased,Digital Inclusion
1204,understand woman mobile phone rural affordancebased,Digital Inclusion
1205,understand woman mobile phone rural affordancebased,Upskilling/ Capacity Building
1206,understand woman mobile phone rural affordancebased,Upskilling/ Capacity Building
1207,unequal venture baseline study gender entrepreneurship java,Data Systems & Development
1208,unequal venture baseline study gender entrepreneurship java,Data Systems & Development
1209,unequal venture baseline study gender entrepreneurship java,Digital Inclusion
1210,unequal venture baseline study gender entrepreneurship java,Digital Inclusion
1211,unescos internet universality indicator framework assess internet,Digital Information Services
1212,universal national identity card unid modernization,E-government
1213,unleash ecommerce asian integration,Digital Infrastructure Development
1214,unleash power farm seek opportunity small farm english,Digital Finance
1215,update infrastructure regulation st century latin america caribbean,Policy & Regulation or Digital Services
1216,update infrastructure regulation st century latin america caribbean,E-government
1217,urban slum datafying milieu challenge datadriven practice,Policy & Regulation or Digital Services
1218,urban slum datafying milieu challenge datadriven practice,Policy & Regulation or Digital Services
1219,urban slum datafying milieu challenge datadriven practice,Data Systems & Development
1220,urban slum datafying milieu challenge datadriven practice,Data Systems & Development
1221,usaid compete system constraint analysis,Digital Finance
1222,usaid compete system constraint analysis,Data Systems & Development
1223,usaid competesector assessmentfinal,E-government
1224,usaid competesector assessmentfinal,Digital Information Services
1225,usaid lens finance,Digital Finance
1226,usaid lens purchase order finance,Digital Finance
1227,usaid lens tanmeyah strategy roadmap microfinance sector,Digital Inclusion
1228,usaid connectivity study promise internet connectivity healthcare education,E-government
1229,usaid connectivity study promise internet connectivity healthcare education,E-government
1230,usaid connectivity study promise internet connectivity healthcare education,E-government
1231,usaid small medium enterprise smea investment policy framework sindh,E-government
1232,usaid small medium enterprise smea investment policy framework sindh,Digital Finance
1233,usaidcambodia window service office platform enhance accountability owsopea landscape window service office civic technology december,E-government
1234,usaidcambodia window service office platform enhance accountability owsopea landscape window service office civic technology december,Digital Inclusion
1235,usaidegypt private sector landscape assessment,Policy & Regulation or Digital Services
1236,usaidegypt private sector landscape assessment,Digital Infrastructure Development
1237,usaidsouth africa tuberculosis africa tbsap midterm evaluation,Data Systems & Development
1238,usaidsouth africa tuberculosis africa tbsap midterm evaluation,Upskilling/ Capacity Building
1239,mobile application ebola contact trace monitor northern leone proofofconcept study,Digital Information Services
1240,mobile application ebola contact trace monitor northern leone proofofconcept study,E-government
1241,technology adolescent attend school bissau guineabissau,Digital Infrastructure Development
1242,technology adolescent adult entertainment sector,Child Protection
1243,interactive voice response technology address barrier fistula care httpsdeemdigitaldevelopmentorgdoc,Data Systems & Development
1244,user perspective usage privacy ehealth system dhaka survey,Data Privacy
1245,user perspective usage privacy ehealth system dhaka survey,E-government
1246,ai data cash transfer,E-government
1247,tool expand access agricultural insurance,Digital Finance
1248,geospatial data analytics guide reproductive maternal newborn child adolescent health program,Data Systems & Development
1249,mobile phone data help estimate communitylevel food insecurity finding multiyear panel study,Data Systems & Development
1250,mobile phone data reveal risk flow network underlie hiv epidemic,Data Systems & Development
1251,satellite data financial inclusion,Digital Finance
1252,satellite data financial inclusion,Digital Finance
1253,technology document violation enable sexworker document violence,Policy & Regulation or Digital Services
1254,technology document violation enable sexworker document violence,Policy & Regulation or Digital Services
1255,utilization literacy retirement plan ghanaian formal informal sector worker,Digital Literacy
1256,utilization literacy retirement plan ghanaian formal informal sector worker,Digital Literacy
1257,utilization literacy retirement plan ghanaian formal informal sector worker,Digital Inclusion
1258,utilization literacy retirement plan ghanaian formal informal sector worker,Digital Inclusion
1259,utilization resource service engineering college library karnataka,Digital Information Services
1260,vaccine meet big data stateof theart future prospect classical isolateinactivateinject vaccinology vaccinology vaccinomics historical overview,Data Systems & Development
1261,innovation ecosystem analysis,E-government
1262,virtual classroom education system,Digital Inclusion
1263,visual data justice datafication urban informality africa image technology,Data Systems & Development
1264,voice visibility variety viciousness malaysian study woman live reality social medium,Digital Inclusion
1265,wahit midline study analytical,Data Systems & Development
1266,wawared,E-government
1267,contextual enablers impact technology extend maternal child health service rural finding qualitative study,Digital Information Services
1268,contextual enablers impact technology extend maternal child health service rural finding qualitative study,Upskilling/ Capacity Building
1269,future,Digital Infrastructure Development
1270,financial service agricultural,Digital Finance
1271,drive ridehailing platform latin america profile uber driver,Digital Finance
1272,data protection matter strengthen inclusion regulatory capacity,Data Privacy
1273,invest icts agriculture,Data Systems & Development
1274,maritime cybersecurity ocean policy priority address,Cybersecurity
1275,willingness mobile epartograph associate factor care provider gondar zone northwest,Upskilling/ Capacity Building
1276,willingness mobile epartograph associate factor care provider gondar zone northwest,Digital Inclusion
1277,window opportunity facilitate trade blockchain technology,Policy & Regulation or Digital Services
1278,woman economic empowerment economy,Digital Finance
1279,woman economic empowerment economy,Digital Finance
1280,woman economic empowerment economy,Digital Inclusion
1281,woman economic empowerment economy,Digital Inclusion
1282,woman economic empowerment,Digital Inclusion
1283,woman economic empowerment,Digital Inclusion
1284,youth entrepreneur engage economy generation,Digital Finance
1285,youth entrepreneur engage economy generation,Digital Inclusion
1286,youth involvement ict informal sector job ileife motivator gender notion satisfaction,Digital Inclusion
1287,youth involvement ict informal sector job ileife motivator gender notion satisfaction,Upskilling/ Capacity Building
1288,youth involvement ict informal sector job ileife motivator gender notion satisfaction,Digital Inclusion
1289,youth involvement ict informal sector job ileife motivator gender notion satisfaction,Upskilling/ Capacity Building
1290,youth woman system agriculture support landscape analysis study,Digital Inclusion
1291,youth woman system agriculture support landscape analysis study,Digital Inclusion
1292,youthled communication social change empowerment citizen medium culture governance northern,Upskilling/ Capacity Building
1293,youthled communication social change empowerment citizen medium culture governance northern,Upskilling/ Capacity Building
1294,upliftment friend finance everyday exchange repertoire mobile money transfer,Digital Finance
1295,wrong side divide seek technological intervention education northeast,Digital Literacy
1296,wrong side divide seek technological intervention education northeast,Digital Infrastructure Development
1297,wrong side divide seek technological intervention education northeast,Upskilling/ Capacity Building
1298,wrong side divide seek technological intervention education northeast,Digital Inclusion
1299,millennial global politics,E-government
