Title,Intervention Area
Georgia's Innovation Strategy & Recommendations,Policy & Regulation or Digital Services
Georgia's Innovation Strategy & Recommendations,Digital Finance
Ghana Digital Economy Diagnostic : Stock-Taking Report (English),Policy & Regulation or Digital Services
Ghana Digital Economy Diagnostic : Stock-Taking Report (English),Digital Inclusion
Ghana Go Digital Agenda: The impact of Zipline Drone Technology on Digital Emergency Health Delivery in Ghana,E-government
Ghana Go Digital Agenda: The impact of Zipline Drone Technology on Digital Emergency Health Delivery in Ghana,Digital Infrastructure Development
Gig Work on Digital Platforms. Case Study 2: Online Support Tools and Forums for AMT Crowdworkers.,Digital Finance
Gig Work on Digital Platforms. Case Study 3: SweepSouth - Platform-Based Domestic Work,Digital Information Services
Global Cybersecurity Capacity Program : Lessons Learned and Recommendations towards Strengthening the Program (English),Cybersecurity
"Global health: science and practice, v. 6, supp. 1 - Digital Health and Health Systems of the Future, 2021",Data Systems & Development
"Global Preparedness Against COVID-19: We Must Leverage the Power of Digital Health, 2020",Data Systems & Development
"Going the full distance: Strategic support for digital libraries in distance education at the University of Education, Winneba in Ghana",E-government
"Going the full distance: Strategic support for digital libraries in distance education at the University of Education, Winneba in Ghana",Digital Infrastructure Development
"Governance Innovation for a Connected World Protecting Free Expression, Diversity and Civic Engagement in the Global Digital Ecosystem",E-government
"Governance Innovation for a Connected World Protecting Free Expression, Diversity and Civic Engagement in the Global Digital Ecosystem",Policy & Regulation or Digital Services
Governing Big Tech’s Pursuit of the “Next Billion Users”,Policy & Regulation or Digital Services
"Governing Data for Development: Trends, Challenges, and Opportunities",E-government
"Growth prospects, market challenges and policy measures: evolution of mobile broadband in Pakistan",Policy & Regulation or Digital Services
"Growth prospects, market challenges and policy measures: evolution of mobile broadband in Pakistan",Digital Infrastructure Development
Hacking into China's Cybersecurity Law,Cybersecurity
Harnessing emerging digital technologies: DataNet operations in eSwatini,E-government
Harnessing emerging digital technologies: DataNet operations in eSwatini,Policy & Regulation or Digital Services
Harnessing transparency initiatives to improve India's environmental clearance process for the mineral mining sector,E-government
Harnessing transparency initiatives to improve India's environmental clearance process for the mineral mining sector,Data Systems & Development
Health for the People: National Community Health Worker Programs from Afghanistan to Zimbabwe,Data Systems & Development
Health Information System Strengthening: Standards and Best Practices for Data Sources,Data Systems & Development
Hello Mama Implementation Road Map,Data Systems & Development
Heterogeneous impact of internet availability on female labour market outcomes in an emerging economy,Digital Inclusion
Heterogeneous impact of internet availability on female labour market outcomes in an emerging economy,Digital Inclusion
High-Saving Youth in Smallholder Households: An Untapped Market,Data Systems & Development
High-Saving Youth in Smallholder Households: An Untapped Market,Digital Inclusion
How COVID-19 has Exposed Cyber Risks in the Health Sector : Why a Paradigm Shift is Needed for Building Cybersecurity Resilience,Cybersecurity
"How is ICT shaping the refugee governance landscape in transitional Bangladesh?, 2020",Digital Inclusion
"How Taiwan Used Big Data, Transparency and a Central Command to Protect Its People from Coronavirus",E-government
How to Be Visible in Student Politics: Performativity and the Digital Public Space in Bangladesh,Digital Information Services
How to Be Visible in Student Politics: Performativity and the Digital Public Space in Bangladesh,Digital Inclusion
Humanitarian Cash Transfers and Financial Inclusion,Digital Finance
Humanitarian Cash Transfers and Financial Inclusion,Digital Inclusion
"ICHealth: large-scale digital health data on evidence-based cardiovascular medications, hospitalizations and epidemiological characteristics of heart failure patients in Brazil, 2020",Data Systems & Development
"ICT as a driver of economic growth: A survey of the literature and directions for future research☆, 2020",Digital Infrastructure Development
"ICT as a driver of economic growth: A survey of the literature and directions for future research☆, 2020",Digital Inclusion
"ICT empowers rural women? Evidence from poor counties in China, 2020",Digital Inclusion
"IDB Working Paper Series - The gender labor market gap in the digital economy, 2019",Upskilling/ Capacity Building
Identification Revolution: Can Digital ID Be Harnessed for Development? (Brief),E-government
"Identifying and Addressing the Challenges Faced by Students with Visual Impairments in Accessing Education and Learning Contents in Relation to ICT: The case of the Tertiary Education in Bangladesh, 2019",Digital Inclusion
Identifying and Verifying Customers: When are KYC Requirements Likely to Become Constraints on Financial Inclusion?,Digital Finance
Identifying and Verifying Customers: When are KYC Requirements Likely to Become Constraints on Financial Inclusion?,Digital Inclusion
Identity Crime in the Digital Age: Malaysian and Mauritanian Legal Frameworks,Cybersecurity
"Immunization Data: Evidence for Action (IDEA) - A Realist Review of What Works to Improve Data Use for Immunization, 2019",Data Systems & Development
Impact of alternate wetting and drying on farm incomes and water savings in Bangladesh,Digital Information Services
Impact of alternate wetting and drying on farm incomes and water savings in Bangladesh,Digital Literacy
Impact of alternate wetting and drying on farm incomes and water savings in Bangladesh,Digital Information Services
Impact of alternate wetting and drying on farm incomes and water savings in Bangladesh,Data Systems & Development
Impact of alternate wetting and drying on farm incomes and water savings in Bangladesh,Data Systems & Development
Impact of alternate wetting and drying on farm incomes and water savings in Bangladesh,Digital Literacy
"Impact of creative capacity building of local innovators and communities on income, welfare and attitudes in Uganda, 2020",Upskilling/ Capacity Building
"Impact of creative capacity building of local innovators and communities on income, welfare and attitudes in Uganda, 2020",Digital Inclusion
"Impact of creative capacity building of local innovators and communities on income, welfare and attitudes in Uganda, 2020",Digital Inclusion
"Impact of creative capacity building of local innovators and communities on income, welfare and attitudes in Uganda, 2020",Upskilling/ Capacity Building
Impact of Cybercrime and Trust on the Use of E-Commerce Technologies: An Application of the Theory of Planned Behavior,Digital Finance
Impact of Cybercrime and Trust on the Use of E-Commerce Technologies: An Application of the Theory of Planned Behavior,Cybersecurity
Impact of Cybercrime in E-business and Trust,Cybersecurity
Impact of demonetization on diffusion of mobile payment service in India: Antecedents of behavioral intention and adoption using extended UTAUT model,Digital Finance
Impact of Digital Finance on Financial Inclusion and Stability,Digital Finance
"Impact of Digital Marketing Capabilities on Market Performance of Small to Medium Enterprise Agro-Processors in Harare, Zimbabwe",Digital Finance
"Impact of Digital Marketing Capabilities on Market Performance of Small to Medium Enterprise Agro-Processors in Harare, Zimbabwe, 2020",Upskilling/ Capacity Building
"Impact of Digital Technology Training on English for Science and Technology Teachers in India, 2020",Upskilling/ Capacity Building
"Impact of ICTs-in-Agriculture on Rural Resilience in Developing Countries, 2019",Data Systems & Development
"Impact of ICTs-in-Agriculture on Rural Resilience in Developing Countries, 2019",Digital Inclusion
"Impact of Online Computer Assisted Learning on Education: Evidence from a Randomized Controlled Trial in China, 2018",Upskilling/ Capacity Building
"Impact of technological pedagogical content knowledge on teachers' digital proficiency at classroom in higher education institution of Pakistan, 2021",Upskilling/ Capacity Building
Impact of voice reminders to reinforce harvest aggregation services training for farmers in Mali,Data Systems & Development
Impact of voice reminders to reinforce harvest aggregation services training for farmers in Mali,Data Systems & Development
Impact of voice reminders to reinforce harvest aggregation services training for farmers in Mali,Data Systems & Development
"Impacts of community-led video education to increase vaccination coverage in Uttar Pradesh, India, 2020",Digital Inclusion
"Impacts of community-led video education to increase vaccination coverage in Uttar Pradesh, India, 2020",Digital Inclusion
Impacts Of IRC's Fifth Child Community Engagement Strategy To Increase Immunisation In Northern Uganda,Digital Literacy
Impacts Of IRC's Fifth Child Community Engagement Strategy To Increase Immunisation In Northern Uganda,Digital Literacy
Impacts Of IRC's Fifth Child Community Engagement Strategy To Increase Immunisation In Northern Uganda,Digital Inclusion
Impacts Of IRC's Fifth Child Community Engagement Strategy To Increase Immunisation In Northern Uganda,Digital Inclusion
"Improving Digital Marketing Strategy in Jordanian Air Aviation Sector for Becoming a Regional Training Center, 2020",Upskilling/ Capacity Building
"Improving Emergency Response by Upgrading Information Technology Systems to Better Respond to COVID-19, 2021",Data Systems & Development
"Improving Global Health Supply Chains through Traceability, 2019",Data Systems & Development
Improving Last-Mile Service Delivery Using Phone-Based Monitoring,Digital Finance
Improving Last-Mile Service Delivery Using Phone-Based Monitoring,Digital Information Services
Improving learning outcomes:  Lessons from rigorous evidence,E-government
Improving local tax collection through technology in Ghana,E-government
Improving local tax collection through technology in Ghana,Digital Finance
Improving Mental Health Care in Developing Countries through Digital Technologies: A Mini Narrative Review of the Chilean Case,Child Protection
Improving Results of District Health Plans in Niger,E-government
Improving the tracking and traceability of U.S. food aid : a feasibility study,Digital Information Services
Improving the tracking and traceability of U.S. food aid : a feasibility study,Digital Infrastructure Development
Inclusion Matters in Africa,E-government
Inclusion Matters in Africa,E-government
Inclusion Matters in Africa,Digital Inclusion
Inclusion Matters in Africa,Digital Inclusion
Inclusive Digital Banking: Emerging Markets Case Studies,Digital Finance
Inclusive Digital Banking: Emerging Markets Case Studies,Digital Inclusion
"Increasing Citizen Voice and Government Responsiveness: What Does Success Really Look Like, and Who Decides?",E-government
"Increasing Citizen Voice and Government Responsiveness: What Does Success Really Look Like, and Who Decides?",Digital Inclusion
Increasing Digital Banking Adoption and Usage Trends in India and its Impact on Financial Inclusion,Digital Finance
Increasing Digital Banking Adoption and Usage Trends in India and its Impact on Financial Inclusion,Digital Inclusion
"Increasing Full Child Immunization Rates by Government Using an Innovative Computerized Immunization Due List in Rural India, 2018",Data Systems & Development
Increasing SME Access to Finance in the MENA Region,Digital Finance
Increasing SME Access to Finance in the MENA Region,Digital Finance
Increasing SME Access to Finance in the MENA Region,Digital Infrastructure Development
Increasing Student Learning through a Phone-based Program during COVID-19 in Botswana,Digital Literacy
Increasing Student Learning through a Phone-based Program during COVID-19 in Botswana,Digital Inclusion
Increasing Women's Access to Finance through Digital Technology,Digital Finance
Increasing Women's Access to Finance through Digital Technology,Digital Finance
India's New Approach to Personal Data-Sharing,Digital Infrastructure Development
India's New Approach to Personal Data-Sharing,Cybersecurity
"Indigenously developed digital handheld Android-based Geographic Information System (GIS)-tagged tablets (TABs) in malaria elimination programme in Mangaluru city, Karnataka, India",Digital Information Services
Indonesia - Agro-Value Chain Assessment : Background Paper 2 - Issues and Options in Promoting Digital Agriculture (English),Digital Finance
Indonesian Defense Industry Development Strategy as Responses to Cyber Threat to Support State Defense,Cybersecurity
"Inequality and Communicative Struggles in Digital Times: A Global Report on Communication for Social Progress, 2018",Digital Inclusion
Inequality and gender inclusion: Minimum ICT policy thresholds for promoting female employment in Sub-Saharan Africa,Policy & Regulation or Digital Services
Inequality and gender inclusion: Minimum ICT policy thresholds for promoting female employment in Sub-Saharan Africa,Digital Inclusion
"Inflection Point - Impacts, Threats and Sustainability: A Study of Latin American Digital Media Entrepreneurs, 2020",Digital Inclusion
Influencing Higher Education Choices through a Customized Digital Application Platform in the Dominican Republic,Digital Information Services
Influencing Higher Education Choices through a Customized Digital Application Platform in the Dominican Republic,Digital Inclusion
Information and communication technologies for small-scale fisheries (ICT4SSF) - A handbook for fisheries stakeholders,Digital Information Services
"Information and Communication Technologies to Provide Agricultural Advice to Smallholder Farmers: Experimental Evidence from Uganda, 2020",Upskilling/ Capacity Building
"Information and communication technology for community-led total sanitation (CLTS) : a landscape assessment, 2021",Data Systems & Development
"Information Communication Technologies (ICTs), Crisis Communication Principles and the COVID-19 Response in South Korea",E-government
Information communication technology diffusion and financial inclusion: an inter-state analysis for India*,Digital Finance
Information communication technology diffusion and financial inclusion: an inter-state analysis for India*,Digital Inclusion
"Information Not Found: The ""Right to Be Forgotten"" as an Emerging Threat to Media Freedom in the Digital Age",Policy & Regulation or Digital Services
Information Technology and Government Decentralization: Experimental Evidence from Paraguay,E-government
Information Technology and Government Decentralization: Experimental Evidence from Paraguay,Digital Information Services
Innovating with government digital platforms in low-income countries: the dynamic capabilities of Woredas in Ethiopia,E-government
Innovating with government digital platforms in low-income countries: the dynamic capabilities of Woredas in Ethiopia,Policy & Regulation or Digital Services
Innovation in development cooperation: emerging trajectories and implications for inclusive sustainable development in the 21st century,Digital Inclusion
Innovation in Education: Improving Learning Outcomes through ICT Technology,Digital Inclusion
Innovative Business Models for Expanding Fiber-Optic Networks and Closing the Access Gaps : Main Report (English),Digital Infrastructure Development
Inovative business models for small farmer inclusion,Digital Infrastructure Development
Instrumentalising the digital: adolescents' engagement with ICTs in low- and middle-income countries,Child Protection
Instrumentalising the digital: adolescents' engagement with ICTs in low- and middle-income countries,Digital Inclusion
"Integrated Mobile and web-based Application for Enhancing delivery of HIV/AIDS Healthcare Information in Tanzania, 2019",Data Systems & Development
Integrating Cyber Capacity into the DIgital Development Agenda,Cybersecurity
"Internet Village Motoman Project in rural Cambodia: bridging the digital divide, 2018",Digital Inclusion
"Interoperability and Digital Finance: Emerging Guidance for Funders, 2021",Digital Inclusion
Investigating Risks and Opportunies for Children in a Digital World: A Rapid Review of the Evidence on Children's Internet Use and Outcomes,Child Protection
Investigating the nexus between Mobile Apps Adoption and Privacy Concerns among Users: An Empirical Analysis from Ghana,Data Privacy
Investigating usability of mobile health applications in Bangladesh,Digital Information Services
Investigating usability of mobile health applications in Bangladesh,Digital Inclusion
"Investing in information and communication technologies to reach gender equality and empower rural women, 2019",Digital Inclusion
"Investing in information and communication technologies to reach gender equality and empower rural women, 2019",Digital Inclusion
Iraq Economic Monitor : Navigating the Perfect Storm (Redux),Digital Finance
Iraq Economic Monitor : Navigating the Perfect Storm (Redux) (English),Digital Infrastructure Development
Iraq Economic Monitor : Navigating the Perfect Storm (Redux) (English),Upskilling/ Capacity Building
Is Data Privacy a Fundamental Right in India? An Analysis and Recommendations from Policy and Legal Perspective,Data Privacy
Is Data Privacy a Fundamental Right in India? An Analysis and Recommendations from Policy and Legal Perspective,Policy & Regulation or Digital Services
Is Data Privacy Good for Business?,Policy & Regulation or Digital Services
Isolating the “Tech” from EdTech: Experimental Evidence on Computer Assisted Learning in China,E-government
"IWMI Gender and Inclusion Strategy 2020-2023, 2019",Digital Infrastructure Development
"IWMI Gender and Inclusion Strategy 2020-2023, 2019",Digital Inclusion
"IWMI Gender and Inclusion Strategy 2020-2023, 2019",Digital Inclusion
"Jio sparks Disruption 2.0: infrastructural imaginaries and platform ecosystems in ˜Digital India"", 2018",Digital Infrastructure Development
"Jobs' Amenability to Working from Home : Evidence from Skills Surveys for 53 Countries, 2020",Digital Infrastructure Development
Jordan media assessment : white paper : government and media outreach in the age of COVID-19,Digital Literacy
Jordanians and Syrian Refugees: Remittances and Financial Services Use,Digital Finance
Jordanians and Syrian Refugees: Remittances and Financial Services Use,Digital Inclusion
Keep it Simple: A Field Experiment on Information Sharing in Social Networks,Digital Finance
Keep it Simple: A Field Experiment on Information Sharing in Social Networks,Policy & Regulation or Digital Services
Keeping Children Engaged in Distance Learning in the Philippines: Key Findings from the RECOVR Survey,E-government
Kenya Health Financing System Assessment 2018: Time to Pick the Best Path,Digital Finance
"Land-Use Planning, Digital Technologies, and Environmental Conservation in Tanzania",E-government
"Land-Use Planning, Digital Technologies, and Environmental Conservation in Tanzania",E-government
"Land-Use Planning, Digital Technologies, and Environmental Conservation in Tanzania",Digital Inclusion
"Land-Use Planning, Digital Technologies, and Environmental Conservation in Tanzania",Digital Inclusion
Leading Schools Digitally : Evaluation of the Electronic School Planning and Budgeting System (e-RKAS) in Indonesia,Digital Finance
Leading Schools Digitally : Evaluation of the Electronic School Planning and Budgeting System (e-RKAS) in Indonesia,Data Systems & Development
Leading Schools Digitally : Evaluation of the Electronic School Planning and Budgeting System (e-RKAS) in Indonesia,Data Systems & Development
Learning To Navigate A New Financial Technology: Evidence From Payroll Accounts,Digital Finance
"Leaving No One Behind in a Digital World, 2018",Digital Inclusion
"Leaving No One Behind: Perspectives and Directions from DFID Multi-Cadre Conferences, 2019",Data Systems & Development
Legislative Frameworks Against Cybercrime: The Budapest Convention and Asia,Cybersecurity
Legislative Frameworks Against Cybercrime: The Budapest Convention and Asia,Upskilling/ Capacity Building
Lesotho - Digital Economy Diagnostic (English),Digital Finance
"Lessons from Country Programs Implementing the Mobile Alliance for Maternal Action Programs in Bangladesh, South Africa, India and Nigeria, 2010-2016, 2021",Data Systems & Development
"Let’s Be Real: The Informal Sector and the Gig Economy are the Future, and the Present, of Work in Africa, 2018",Data Systems & Development
Leveraging Digital Financial Solutions to Promote Formal Business Participation,Digital Finance
Leveraging Digital Solutions to Fight COVID-19 : Lessons from ASEAN Countries,E-government
"Leveraging ICT Technologies in Closing the Gender Gap (English), 2020",Digital Inclusion
"Leveraging ICT Technologies in Closing the Gender Gap (English), 2020",Digital Inclusion
Leveraging phone-based mobile technology to improve data quality at health facilities in rural Malawi: a best practice project,E-government
Leveraging phone-based mobile technology to improve data quality at health facilities in rural Malawi: a best practice project,Data Systems & Development
"Link It, Open It, Use It: Changing How Education Data Are Used to Generate Ideas",Data Systems & Development
Linkedin(to) Job Opportunities: Experimental Evidence from Job Readiness Training,Digital Information Services
Linkedin(to) Job Opportunities: Experimental Evidence from Job Readiness Training,Upskilling/ Capacity Building
"Maintenance Affordances and Structural Inequalities: Mobile Phone Use by Low-Income Women in the United Kingdom, 2018",Digital Inclusion
"Maintenance Affordances and Structural Inequalities: Mobile Phone Use by Low-Income Women in the United Kingdom, 2018",Digital Inclusion
"Making Informal Settlements ‘Visible’ Through Datafication: A Case Study of Quarry Road West Informal Settlement, Durban, South Africa, 2019",Data Systems & Development
"Making agricultural value chains more inclusive through technology and innovation, 2020",Digital Inclusion
Making an impact : US-Indonesia investment report,Digital Finance
Making an impact : US-Indonesia investment report,Digital Finance
Making an impact : US-Indonesia investment report,Digital Infrastructure Development
Making Data Work for the Poor,Policy & Regulation or Digital Services
Making Data Work for the Poor,Data Systems & Development
Making Development Finance Management Information Systems Work for the Evolving Development Co-operation,Digital Finance
Making Development Finance Management Information Systems Work for the Evolving Development Co-operation,Data Systems & Development
"Making Informal Settlements ‘Visible’ Through Datafication: A Case Study of Quarry Road West Informal Settlement, Durban, South Africa",E-government
Making the Paper-to-Digital Shift in India,Digital Information Services
"Malala Fund ‘Full Force’ report research, 2018",Digital Inclusion
"Malala Fund ‘Full Force’ report research, 2018",Digital Inclusion
"Malala Fund ‘Full Force’ report research, 2018",Digital Inclusion
Malaysia's Digital Economy : A New Driver of Development,Digital Finance
Malaysia's Digital Economy : A New Driver of Development,Digital Infrastructure Development
Management of digital records in selected financial services parastatals in Zimbabwe,Digital Finance
Management of digital records in selected financial services parastatals in Zimbabwe,Digital Infrastructure Development
Management of digital records in selected financial services parastatals in Zimbabwe,Data Systems & Development
Manual for the Production of Statistics on the Digital Economy,Policy & Regulation or Digital Services
Mapping Data Governance Legal Frameworks Around the World : Findings from the Global Data Regulation Diagnostic,Cybersecurity
Mapping Data Governance Legal Frameworks Around the World : Findings from the Global Data Regulation Diagnostic,Data Systems & Development
Mapping the Merchant Mind: an analysis of digital payment behaviors by Fixed Store Merchants in Jaipur,Digital Finance
"mCARE, a digital health intervention package on pregnancy surveillance and care-seeking reminders from 2018 to 2027 in Bangladesh: a model-based cost-effectiveness analysis",Digital Information Services
"MEASURE evaluation phase IV -- midterm performance evaluation : final report, 2018",Digital Infrastructure Development
"Measuring the Global Broadband Divide Using Aggregated Crowdsourced Big Data, 2020",Digital Infrastructure Development
"Measuring the Global Broadband Divide Using Aggregated Crowdsourced Big Data, 2020",Digital Inclusion
"Media Literacy, Social Connectedness, and Digital Citizenship in India: Mapping Stakeholders on How Parents and Young People Navigate a Social 
World",Digital Literacy
"Media Development Investment Fund (MDIF) Media Advisory Services (MAS)'s Series of Practical Guides for Media Managers and Practitioners, 2019",Digital Inclusion
Medic Mobile Case Study by UNESCO-Pearson Initiative for Literacy,Digital Literacy
"mHealth Data Security, Privacy, and Confidentiality",Data Privacy
"mHealth Data Security, Privacy, and Confidentiality",Cybersecurity
Micro-merchant Ecosystems for Low Income Communities- Fixed Store,Digital Finance
Midline Effects of a Randomized Controlled Trial to Increase the Utilization of Financial Services by Women Business Owners in Rural Indonesia - Working Paper 506,Digital Finance
Midline Effects of a Randomized Controlled Trial to Increase the Utilization of Financial Services by Women Business Owners in Rural Indonesia - Working Paper 506,Digital Finance
Milking the benefits of digital payments : a journey towards finding simple solutions,Digital Finance
Mindful Saving: Exploring the Power of Savings for Women,Digital Literacy
Mindful Saving: Exploring the Power of Savings for Women,Digital Literacy
Mindful Saving: Exploring the Power of Savings for Women,Digital Inclusion
Mindful Saving: Exploring the Power of Savings for Women,Digital Inclusion
"Minimum Data Consumption : How Much is Needed to Support Online Activities, and Is It Affordable?, 2021",Digital Inclusion
MIRA Channel Case Study by UNESCO-Pearson Initiative for Literacy,Data Systems & Development
MIRA Channel Case Study by UNESCO-Pearson Initiative for Literacy,Data Systems & Development
MIRA Channel Case Study by UNESCO-Pearson Initiative for Literacy,Data Systems & Development
"Mobile learning for high-school mathematics as a path to better sustainability in a fast-changing society: an exploratory study from Vietnam, 2019",Digital Infrastructure Development
Mobile Network Operator Partnerships in Action for Health: A Vietnam Case Study on Mobile Network Operator and Ministry of Health Engagement for Electronic Immunization Registry Application,Digital Infrastructure Development
"Mobile Phone Access and Implications for Digital Health Interventions Among Adolescents and Young Adults in Zimbabwe: Cross-Sectional Survey, 2021",Digital Infrastructure Development
Mobile Banking - An Answer to Financial Inclusion in Hilly Rural India,Digital Finance
Mobile Banking - An Answer to Financial Inclusion in Hilly Rural India,Digital Inclusion
Mobile Banking: An Innovative Solution for Increasing Financial Inclusion in Sub-Saharan African Countries: Evidence from Nigeria,Digital Finance
Mobile Banking: An Innovative Solution for Increasing Financial Inclusion in Sub-Saharan African Countries: Evidence from Nigeria,Digital Inclusion
Mobile commerce adoption among the bottom of the pyramid: a case of street vendors in Thailand,Digital Finance
Mobile Connectivity in Emerging Economies,Child Protection
Mobile Health Initiatives in Malawi,Digital Information Services
"Mobile health messaging service and helpdesk for South African mothers (MomConnect): history, successes and challenges, 2021",Data Systems & Development
"Mobile health to improve adherence to tuberculosis treatment in Khartoum state, Sudan",Digital Information Services
"Mobile health to improve adherence to tuberculosis treatment in Khartoum state, Sudan",Data Systems & Development
"Mobile Learning Support in Delivering Distance Education: Perception of Students of University of Cape Coast, Ghana",Data Systems & Development
"Mobile Learning Support in Delivering Distance Education: Perception of Students of University of Cape Coast, Ghana",Upskilling/ Capacity Building
Mobile Learning System for Egyptian Higher Education Using Agile-Based Approach,Digital Information Services
Mobile Learning System for Egyptian Higher Education Using Agile-Based Approach,Upskilling/ Capacity Building
Mobile money adoption and spending behaviour: the case of students in Ghana,Digital Finance
Mobile money as a financial inclusion instrument: what are the determinants?,Digital Finance
Mobile money as a financial inclusion instrument: what are the determinants?,Digital Inclusion
"Mobile Money, Financial Inclusion and Digital Payment: The Case of Vietnam",Digital Finance
"Mobile Money, Financial Inclusion and Digital Payment: The Case of Vietnam",Digital Inclusion
Mobile payments in India: the privacy factor,Digital Finance
"Mobile Phone Access and Implications for Digital Health Interventions Among Adolescents and Young Adults in Zimbabwe: Cross-Sectional Survey, 2021",Digital Inclusion
Mobile Technology and Inclusion of Persons with Disabilities,Digital Inclusion
Mobile Wallets in India: A Framework for Consumer Adoption,Digital Finance
Moldova Mobile ID Case Study (English),E-government
"Moldova rapid e-commerce review : USAID Moldova structural reform program, 2020",Digital Inclusion
Moldova's enabling environment for doing business in the digital economy,Digital Finance
Moldova's Enabling Environment for Doing Business in the Digital Economy,Digital Finance
"Money, Mobile Money and Rituals in Western Kenya: The Contingency Fund and the Thirteenth Cow",Digital Finance
Motivating the adoption of new community-minded behaviors: An empirical test in Nigeria,E-government
"My Mobile Phone, My Life: Deconstructing Development (Maendeleo) and Gender Narratives among the Marakwet in Kenya",Digital Literacy
"My Mobile Phone, My Life: Deconstructing Development (Maendeleo) and Gender Narratives among the Marakwet in Kenya",Digital Literacy
"My Mobile Phone, My Life: Deconstructing Development (Maendeleo) and Gender Narratives among the Marakwet in Kenya",Digital Inclusion
"My Mobile Phone, My Life: Deconstructing Development (Maendeleo) and Gender Narratives among the Marakwet in Kenya",Digital Inclusion
"National Cybersecurity Strategy for Developing Countries: Case Study, Ecuador Proposal",Cybersecurity
Nepal Agricultural Lending - Nepal Final Mission Report,Digital Finance
Nepal Agricultural Lending - Nepal Final Mission Report,Digital Infrastructure Development
NetHope ePayments toolkit,Digital Finance
NetHope ePayments toolkit,Digital Finance
"New Insights on Women’s Mobile Phone Ownership, 2018",Digital Inclusion
"New Insights on Women’s Mobile Phone Ownership, 2018",Digital Inclusion
"New Powers, New Responsibilities: A Global Survey of Journalism and Artificial Intelligence",Digital Information Services
News Organizations in Colombia Building Consensus through Social Media: A Case of Digital-Native La Silla Vacía,Digital Information Services
"Next Generation Universal Service toward Ubiquitous Broadband Ecosystems in ASEAN (USO 2.0), 2018",Digital Infrastructure Development
"No Broken Link : The Vulnerability of Telecommunication Infrastructure to Natural Hazards (English), 2019",Digital Infrastructure Development
"No Broken Link : The Vulnerability of Telecommunication Infrastructure to Natural Hazards (English), 2019",Digital Infrastructure Development
Nonbank E-Money Issuers vs. Payments Banks: How Do They Compare?,Digital Finance
"Off-grid Solar Market Assessment Cote d'Ivoire Power Africa Off-grid Project, 2019",Data Systems & Development
"Off-grid Solar Market Assessment Cote d'Ivoire Power Africa Off-grid Project, 2019",Data Systems & Development
"Off-grid Solar Market Assessment Cote d'Ivoire Power Africa Off-grid Project, 2019",Digital Inclusion
"Off-grid Solar Market Assessment Cote d'Ivoire Power Africa Off-grid Project, 2019",Digital Inclusion
"On Track: Health Care, Patient Data, and Provider Performance, 2020",Data Systems & Development
Online Child Sexual Exploitation and Abuse: A Community Diagnosis Using the Social Norms Theoryy,Child Protection
Online Child Sexual Exploitation: Towards an Optimal International Response,Child Protection
"Online Opportunities and Risks for Children and Adolescents: The Role of DIgital Skills, Age, Gender and Parental Mediation in Brazil",Child Protection
Open Banking: How to Design for Financial Inclusion,Digital Finance
Open Banking: How to Design for Financial Inclusion,Digital Inclusion
Open Data for Agriculture and Nutrition: A Literature Review and Proposed Conceptual Framework,E-government
"Operability, Acceptability, and Usefulness of a Mobile App to Track Routine Immunization Performance in Rural Pakistan: Interview Study Among Vaccinators and Key Informants, 2019",Data Systems & Development
Opportunities for digital financial services in the cocoa value chain in Côte d’Ivoire : insights from new data,Digital Finance
Opportunities for digital financial services in the cocoa value chain in Côte d’Ivoire : insights from new data (English),Digital Finance
"Optimal Cyber Threat Intelligent System for Nepal, 2019",Cybersecurity
"Outcome of Reminder Text Messages Intervention on Completion of Routine Immunization in Rural Areas, Nigeria, 2020",Data Systems & Development
Ownership and Use of Mobile Devices Among Adolescents in Indonesia,Data Systems & Development
Ownership and Use of Mobile Devices Among Adolescents in Indonesia,Digital Literacy
Pakistan Economic Policy for Export Competitiveness Digital Pakistan : A Business and Trade Assessment,Digital Infrastructure Development
Pakistan Economic Policy for Export Competitiveness Digital Pakistan : A Business and Trade Assessment,Digital Finance
Papua New Guinea Financial Consumer Protection Diagnostic 2018 (English),Digital Finance
Parental mediation and Romandian Young Children's Digital Practices,Child Protection
Parenting in the digital age: The challenges of parental responsibility in comparative perspective,Child Protection
"Participatory Mapping Toolkit: A Guide for Refugee Contexts, 2018",Digital Infrastructure Development
Pathways to prosperity rural and agricultural finance state of the sector,Digital Finance
"Patient-Centered Care: Transforming the Health Care System in Vietnam With Support of Digital Health Technology, 2021",Digital Infrastructure Development
"Patient-Centered Care: Transforming the Health Care System in Vietnam With Support of Digital Health Technology, 2021",Data Systems & Development
"Pattern of Digital Divide and Convergence in Access to ICT Facilities among the Indian States, 2018",Digital Infrastructure Development
Patterns of Mobile Phone Ownership and Use Among Pregnant Women in Southern Tanzania: Cross-Sectional Survey,Digital Literacy
Peer Effects and Externalities in Technology Adoption: Evidence from Community Reporting in Uganda,Digital Information Services
Perception of corruption in e-government services post-launch of “Digital India”: role of demographic variables,E-government
"Perceptions of drones, digital adherence monitoring technologies and educational videos for tuberculosis control in remote Madagascar: a mixed-method study protocol, 2019",Data Systems & Development
Perceptions and Acceptability of Digital Interventions Among Tuberculosis Patients in Cambodia: Qualitative Study of Video-Based Directly Observed Therapy,Digital Information Services
